Ficheiro,Tempo,Mop's Total,Threads,Mop's/Thread
cg.C.x-1.txt,285.29,502.46,1,502.46
cg.C.x-10.txt,32.75,4377.65,10,437.77
cg.C.x-12.txt,29.24,4902.58,12,408.55
cg.C.x-16.txt,36.98,3876.08,16,242.25
cg.C.x-2.txt,143.84,996.59,2,498.30
cg.C.x-24.txt,27.78,5160.93,24,215.04
cg.C.x-32.txt,21.88,6552.41,32,204.76
cg.C.x-34.txt,31.79,4509.17,34,132.62
cg.C.x-4.txt,74.10,1934.41,4,483.60
cg.C.x-8.txt,40.02,3581.83,8,447.73
