Ficheiro,Tempo,Mop's Total,Threads,Mop's/Thread
is.B.x-1.txt,3.60,93.31,1,93.31
is.B.x-10.txt,0.47,711.05,10,71.10
is.B.x-12.txt,0.55,609.99,12,50.83
is.B.x-16.txt,0.44,768.74,16,48.05
is.B.x-2.txt,2.09,160.69,2,80.35
is.B.x-24.txt,0.35,956.16,24,39.84
is.B.x-32.txt,0.40,841.47,32,26.30
is.B.x-4.txt,1.06,316.67,4,79.17
is.B.x-8.txt,0.57,593.29,8,74.16
