Ficheiro,Tempo,Mop's Total,Threads,Mop's/Thread
is.A.x-1.txt,0.86,97.38,1,97.38
is.A.x-10.txt,0.12,705.23,10,70.52
is.A.x-12.txt,0.12,676.35,12,56.36
is.A.x-16.txt,0.10,831.63,16,51.98
is.A.x-2.txt,0.51,165.47,2,82.73
is.A.x-24.txt,0.08,1004.04,24,41.83
is.A.x-32.txt,0.11,795.76,32,24.87
is.A.x-4.txt,0.26,325.76,4,81.44
is.A.x-8.txt,0.14,609.94,8,76.24
