Ficheiro,Tempo,Mop's
cg.A.x.txt,1.46,1024.34
cg.B.x.txt,110.52,634.19
cg.C.x.txt,261.83,547.49
ep.A.x.txt,19.13,28.07
ep.B.x.txt,76.50,28.07
ep.C.x.txt,305.95,28.08
is.A.x.txt,0.82,102.51
is.B.x.txt,3.42,98.12
is.C.x.txt,15.09,88.94
