Ficheiro,Tempo,Mop's
cg.A.x.txt,1.16,1284.68
cg.B.x.txt,106.90,511.80
cg.C.x.txt,294.21,487.23
ep.A.x.txt,8.40,63.93
ep.B.x.txt,33.62,63.87
ep.C.x.txt,134.01,64.10
is.A.x.txt,0.89,94.67
is.B.x.txt,3.75,89.57
is.C.x.txt,16.96,79.13
