Ficheiro,Processos,Tempo,Mops, Mops/Process
cg.A.32.txt,32,5.30,282.36,8.82
cg.B.32.txt,32,36.74,1489.00,46.53
cg.C.32.txt,32,51.75,2770.04,86.56
ep.A.32.txt,32,0.78,689.97,21.56
ep.B.32.txt,32,2.30,933.95,29.19
ep.C.32.txt,32,7.57,1134.77,35.46
is.A.32.txt,32,2.88,29.08,0.91
is.B.32.txt,32,3.34,100.48,3.14
is.C.32.txt,32,5.45,246.12,7.69
