Ficheiro,Tempo,Mop's
cg.A.x.txt,1.48,1008.73
cg.B.x.txt,86.59,631.80
cg.C.x.txt,288.32,497.19
ep.A.x.txt,9.17,58.52
ep.B.x.txt,36.64,58.61
ep.C.x.txt,146.41,58.67
is.A.x.txt,0.78,107.59
is.B.x.txt,3.28,102.29
is.C.x.txt,14.74,91.03
