Ficheiro,Tempo,Mop's
cg.A.x.txt,1.55,962.96
cg.B.x.txt,87.36,626.22
cg.C.x.txt,261.59,547.99
ep.A.x.txt,19.15,28.04
ep.B.x.txt,76.17,28.19
ep.C.x.txt,305.62,28.11
is.A.x.txt,0.83,100.86
is.B.x.txt,3.46,96.95
is.C.x.txt,15.29,87.80
