Ficheiro,Tempo,Mop's
cg.A.x.txt,1.19,1255.63
cg.B.x.txt,162.75,336.16
cg.C.x.txt,286.25,500.78
ep.A.x.txt,18.34,29.28
ep.B.x.txt,73.34,29.28
ep.C.x.txt,293.40,29.28
is.A.x.txt,0.93,90.67
is.B.x.txt,3.88,86.55
is.C.x.txt,17.47,76.84
