Ficheiro,Tempo,Mop's
cg.A.x.txt,3.64,411.20
cg.B.x.txt,231.48,236.34
cg.C.x.txt,609.03,235.37
ep.A.x.txt,26.33,20.39
ep.B.x.txt,105.30,20.39
ep.C.x.txt,420.98,20.40
is.A.x.txt,1.39,60.25
is.B.x.txt,5.76,58.21
is.C.x.txt,24.96,53.78
