Ficheiro,Tempo,Mop's
cg.A.x.txt,1.19,1258.78
cg.B.x.txt,100.99,541.71
cg.C.x.txt,283.99,504.77
ep.A.x.txt,18.36,29.24
ep.B.x.txt,73.41,29.25
ep.C.x.txt,293.74,29.24
is.A.x.txt,0.93,90.47
is.B.x.txt,3.91,85.84
is.C.x.txt,17.63,76.14
