Ficheiro,Tempo,Mop's Total,Threads,Mop's/Thread
is.C.x-1.txt,16.25,82.58,1,82.58
is.C.x-10.txt,2.04,658.09,10,65.81
is.C.x-12.txt,2.35,571.55,12,47.63
is.C.x-16.txt,1.90,705.47,16,44.09
is.C.x-2.txt,9.20,145.84,2,72.92
is.C.x-24.txt,1.44,932.00,24,38.83
is.C.x-32.txt,1.62,828.09,32,25.88
is.C.x-4.txt,4.72,284.14,4,71.03
is.C.x-8.txt,2.45,547.96,8,68.49
