Ficheiro,Tempo,Mop's Total,Threads,Mop's/Thread
cg.B.x-1.txt,115.40,474.09,1,474.09
cg.B.x-10.txt,19.93,2744.70,10,274.47
cg.B.x-12.txt,26.26,2083.09,12,173.59
cg.B.x-16.txt,22.47,2434.48,16,152.15
cg.B.x-2.txt,47.45,1153.05,2,576.53
cg.B.x-24.txt,18.76,2916.54,24,121.52
cg.B.x-32.txt,22.09,2476.25,32,77.38
cg.B.x-4.txt,26.05,2099.82,4,524.95
cg.B.x-8.txt,20.21,2707.48,8,338.43
