Ficheiro,Tempo,Mop's
cg.A.x.txt,1.48,1012.09
cg.B.x.txt,90.85,602.19
cg.C.x.txt,292.41,490.23
ep.A.x.txt,9.11,58.92
ep.B.x.txt,36.39,59.01
ep.C.x.txt,145.52,59.03
is.A.x.txt,0.79,106.82
is.B.x.txt,3.29,101.95
is.C.x.txt,14.73,91.10
