Ficheiro,Tempo,Mop's
cg.A.x.txt,1.18,1270.17
cg.B.x.txt,106.71,512.69
cg.C.x.txt,292.61,489.89
ep.A.x.txt,8.40,63.89
ep.B.x.txt,33.57,63.96
ep.C.x.txt,134.45,63.89
is.A.x.txt,0.89,93.75
is.B.x.txt,3.79,88.60
is.C.x.txt,17.11,78.46
