Ficheiro,Tempo,Mop's Total,Threads,Mop's/Thread
ep.C.x-1.txt,295.14,29.10,1,29.10
ep.C.x-10.txt,29.82,288.08,10,28.81
ep.C.x-12.txt,25.05,342.86,12,28.57
ep.C.x-16.txt,23.41,366.98,16,22.94
ep.C.x-2.txt,147.42,58.27,2,29.13
ep.C.x-24.txt,15.87,541.25,24,22.55
ep.C.x-32.txt,13.55,634.02,32,19.81
ep.C.x-34.txt,13.96,615.21,34,18.09
ep.C.x-4.txt,73.80,116.40,4,29.10
ep.C.x-8.txt,36.91,232.72,8,29.09
