Ficheiro,Tempo,Mop's Total,Threads,Mop's/Thread
is.B.x-1.txt,3.39,99.08,1,99.08
is.B.x-10.txt,0.62,542.39,10,54.24
is.B.x-12.txt,0.54,622.74,12,51.90
is.B.x-16.txt,0.43,777.33,16,48.58
is.B.x-2.txt,1.98,169.64,2,84.82
is.B.x-24.txt,0.53,628.37,24,26.18
is.B.x-32.txt,0.55,614.66,32,19.21
is.B.x-4.txt,1.01,331.30,4,82.82
is.B.x-8.txt,0.56,594.31,8,74.29
