Ficheiro,Tempo,Mop's
cg.A.x.txt,1.14,1312.22
cg.B.x.txt,100.36,545.13
cg.C.x.txt,285.56,501.99
ep.A.x.txt,18.37,29.22
ep.B.x.txt,73.48,29.22
ep.C.x.txt,293.83,29.23
is.A.x.txt,0.92,90.96
is.B.x.txt,3.89,86.34
is.C.x.txt,17.50,76.69
