Ficheiro,Tempo,Mop's Total,Threads,Mop's/Thread
cg.A.x-1.txt,1.67,896.62,1,896.62
cg.A.x-10.txt,0.27,5555.43,10,555.54
cg.A.x-12.txt,0.32,4714.97,12,392.91
cg.A.x-16.txt,0.26,5673.10,16,354.57
cg.A.x-2.txt,0.76,1977.47,2,988.73
cg.A.x-24.txt,0.17,8900.27,24,370.84
cg.A.x-32.txt,0.56,2694.30,32,84.20
cg.A.x-4.txt,0.36,4100.65,4,1025.16
cg.A.x-8.txt,0.23,6569.97,8,821.25
