Ficheiro,Tempo,Mop's
cg.A.x.txt,4.08,366.42
cg.B.x.txt,187.32,292.06
cg.C.x.txt,498.05,287.82
ep.A.x.txt,15.82,33.93
ep.B.x.txt,63.20,33.98
ep.C.x.txt,253.15,33.93
is.A.x.txt,1.61,52.18
is.B.x.txt,6.55,51.26
is.C.x.txt,26.57,50.52
