Ficheiro,Processos,Tempo,Mops, Mops/Process
cg.A.32.txt,32,10.80,138.54,4.33
cg.B.32.txt,32,26.93,2031.34,63.48
cg.C.32.txt,32,51.44,2786.57,87.08
ep.A.32.txt,32,1.33,403.85,12.62
ep.B.32.txt,32,4.07,527.78,16.49
ep.C.32.txt,32,13.09,656.39,20.51
is.A.32.txt,32,1.91,43.92,1.37
is.B.32.txt,32,3.13,107.18,3.35
is.C.32.txt,32,3.78,354.90,11.09
