Ficheiro,Tempo,Mop's Total,Threads,Mop's/Thread
ep.C.x-1.txt,146.77,58.53,1,58.53
ep.C.x-10.txt,16.18,530.89,10,53.09
ep.C.x-12.txt,16.52,519.98,12,43.33
ep.C.x-16.txt,13.86,619.56,16,38.72
ep.C.x-2.txt,73.31,117.17,2,58.58
ep.C.x-24.txt,11.01,779.85,24,32.49
ep.C.x-32.txt,10.78,796.69,32,24.90
ep.C.x-4.txt,37.25,230.63,4,57.66
ep.C.x-8.txt,19.76,434.70,8,54.34
