Ficheiro,Tempo,Mop's Total,Threads,Mop's/Thread
is.C.x-1.txt,17.55,76.47,1,76.47
is.C.x-10.txt,2.15,623.74,10,62.37
is.C.x-12.txt,1.81,742.95,12,61.91
is.C.x-16.txt,1.93,694.06,16,43.38
is.C.x-2.txt,9.51,141.10,2,70.55
is.C.x-24.txt,1.37,983.10,24,40.96
is.C.x-32.txt,1.65,811.20,32,25.35
is.C.x-34.txt,1.71,786.98,34,23.15
is.C.x-4.txt,5.24,256.34,4,64.09
is.C.x-8.txt,2.65,507.21,8,63.40
