Ficheiro,Tempo,Mop's Total,Threads,Mop's/Thread
cg.C.x-1.txt,435.64,329.05,1,329.05
cg.C.x-10.txt,45.00,3185.82,10,318.58
cg.C.x-12.txt,37.40,3832.90,12,319.41
cg.C.x-16.txt,30.28,4733.57,16,295.85
cg.C.x-2.txt,219.48,653.14,2,326.57
cg.C.x-24.txt,28.13,5096.40,24,212.35
cg.C.x-32.txt,34.91,4106.36,32,128.32
cg.C.x-34.txt,36.25,3954.62,34,116.31
cg.C.x-4.txt,110.45,1297.86,4,324.47
cg.C.x-8.txt,55.17,2598.49,8,324.81
