Ficheiro,Tempo,Mop's Total,Threads,Mop's/Thread
ep.B.x-1.txt,34.58,62.09,1,62.09
ep.B.x-10.txt,3.47,619.65,10,61.97
ep.B.x-12.txt,3.02,710.98,12,59.25
ep.B.x-16.txt,2.82,761.53,16,47.60
ep.B.x-2.txt,17.31,124.04,2,62.02
ep.B.x-24.txt,2.03,1060.38,24,44.18
ep.B.x-32.txt,2.19,982.54,32,30.70
ep.B.x-34.txt,1.92,1119.88,34,32.94
ep.B.x-4.txt,8.64,248.57,4,62.14
ep.B.x-8.txt,4.32,497.32,8,62.16
