Ficheiro,Tempo,Mop's
cg.A.x.txt,4.05,369.44
cg.B.x.txt,193.54,282.67
cg.C.x.txt,494.11,290.11
ep.A.x.txt,27.17,19.76
ep.B.x.txt,108.84,19.73
ep.C.x.txt,435.98,19.70
is.A.x.txt,1.26,66.37
is.B.x.txt,5.22,64.22
is.C.x.txt,22.24,60.35
