Ficheiro,Processos,Tempo,Mops, Mops/Process
cg.A.8.txt,8,0.15,9842.40,1230.30
cg.B.8.txt,8,7.61,7190.88,898.86
cg.C.8.txt,8,32.44,4418.51,552.31
ep.A.8.txt,8,1.08,495.21,61.90
ep.B.8.txt,8,4.34,494.77,61.85
ep.C.8.txt,8,17.48,491.35,61.42
is.A.8.txt,8,0.14,617.35,77.17
is.B.8.txt,8,0.56,595.42,74.43
is.C.8.txt,8,2.32,577.91,72.24
