Ficheiro,Tempo,Mop's
cg.A.x.txt,4.09,365.78
cg.B.x.txt,210.86,259.46
cg.C.x.txt,552.72,259.35
ep.A.x.txt,27.18,19.75
ep.B.x.txt,108.54,19.79
ep.C.x.txt,434.47,19.77
is.A.x.txt,1.27,65.82
is.B.x.txt,5.19,64.62
is.C.x.txt,22.16,60.56
