Ficheiro,Processos,Tempo,Mops, Mops/Process
cg.A.16.txt,16,0.09,16812.27,1050.77
cg.B.16.txt,16,5.91,9257.90,578.62
cg.C.16.txt,16,21.25,6747.21,421.70
ep.A.16.txt,16,1.16,461.13,28.82
ep.B.16.txt,16,4.61,465.82,29.11
ep.C.16.txt,16,19.04,451.07,28.19
is.A.16.txt,16,0.08,998.85,62.43
is.B.16.txt,16,0.36,943.48,58.97
is.C.16.txt,16,1.52,882.75,55.17
