Ficheiro,Tempo,Mop's
cg.A.x.txt,3.58,418.26
cg.B.x.txt,228.80,239.11
cg.C.x.txt,440.54,325.39
ep.A.x.txt,26.33,20.39
ep.B.x.txt,105.28,20.40
ep.C.x.txt,421.00,20.40
is.A.x.txt,1.39,60.18
is.B.x.txt,5.77,58.18
is.C.x.txt,24.83,54.06
